"county","total_new_cases","month","year","hospitalizations","vaccinations"
"Newton County",19,"March",2023,93,17120
"Nolan County",33,"March",2023,2,31022
"Nueces County",528,"March",2023,374,1063058
"Ochiltree County",6,"March",2023,145,19135
"Oldham County",1,"March",2023,145,3773
"Orange County",73,"March",2023,93,154223
"Palo Pinto County",70,"March",2023,0,54922
"Panola County",63,"March",2023,148,44252
"Parker County",247,"March",2023,1222,338071
"Parmer County",14,"March",2023,1,19636
"Pecos County",90,"March",2023,24,46520
"Polk County",110,"March",2023,62,128351
"Potter County",303,"March",2023,145,278948
"Presidio County",3,"March",2023,0,32050
"Rains County",11,"March",2023,1592,23322
"Randall County",410,"March",2023,145,327958
"Reagan County",10,"March",2023,55,7611
"Real County",25,"March",2023,26,8807
"Red River County",33,"March",2023,7,25121
"Reeves County",39,"March",2023,75,71276
"Refugio County",9,"March",2023,55,18773
"Roberts County",1,"March",2023,7,1340
"Robertson County",49,"March",2023,107,38467
"Rockwall County",226,"March",2023,1592,317369
"Runnels County",13,"March",2023,55,22791
"Rusk County",177,"March",2023,148,108297
"Sabine County",9,"March",2023,32,19539
"San Augustine County",6,"March",2023,32,16693
"San Jacinto County",82,"March",2023,3810,50085
"San Patricio County",81,"March",2023,374,189555
"San Saba County",6,"March",2023,8,12551
"Schleicher County",4,"March",2023,55,5896
"Scurry County",33,"March",2023,0,39326
"Shackelford County",5,"March",2023,44,6066
"Shelby County",24,"March",2023,32,46192
"Sherman County",1,"March",2023,145,5260
"Smith County",429,"March",2023,345,548247
"Somervell County",4,"March",2023,1222,20900
"Starr County",184,"March",2023,357,332176
"Stephens County",14,"March",2023,44,17392
"Sterling County",4,"March",2023,55,2512
"Stonewall County",2,"March",2023,44,2790
"Sutton County",6,"March",2023,55,8373
"Swisher County",30,"March",2023,145,15201
"Tarrant County",3945,"March",2023,1222,6103383
"Taylor County",408,"March",2023,44,355408
"Terrell County",1,"March",2023,24,2049
"Terry County",12,"March",2023,2,26123
"Throckmorton County",3,"March",2023,75,3058
"Titus County",116,"March",2023,13,66069
